domain_size,level,category,plan_length,plan_cost,generation_time,status
,26,physical,10,661,0.4493563175201416,SOLVED_OPTIMALLY
,26,social,4,185,0.31002187728881836,SOLVED_OPTIMALLY
,26,cognitive,8,354,0.3670792579650879,SOLVED_OPTIMALLY
,27,physical,10,755,0.4513664245605469,SOLVED_OPTIMALLY
,27,social,5,207,0.32920408248901367,SOLVED_OPTIMALLY
,27,cognitive,11,393,0.4015641212463379,SOLVED_OPTIMALLY
,28,physical,7,803,0.3176555633544922,SOLVED_OPTIMALLY
,28,social,5,234,0.2946126461029053,SOLVED_OPTIMALLY
,28,cognitive,8,425,0.2746288776397705,SOLVED_OPTIMALLY
,29,physical,7,839,0.28771233558654785,SOLVED_OPTIMALLY
,29,social,5,242,0.30918312072753906,SOLVED_OPTIMALLY
,29,cognitive,12,470,0.4553837776184082,SOLVED_OPTIMALLY
