domain_size,level,category,plan_length,generation_time,status
15,14,physical,2,0.30741047859191895,SOLVED_OPTIMALLY
15,14,social,2,0.2815847396850586,SOLVED_OPTIMALLY
15,14,cognitive,2,0.29502058029174805,SOLVED_OPTIMALLY
15,15,physical,2,0.2769646644592285,SOLVED_OPTIMALLY
15,15,social,2,0.29666733741760254,SOLVED_OPTIMALLY
15,15,cognitive,2,0.29220104217529297,SOLVED_OPTIMALLY
15,16,physical,5,0.360518217086792,SOLVED_OPTIMALLY
15,16,social,2,0.29177188873291016,SOLVED_OPTIMALLY
15,16,cognitive,3,0.28945422172546387,SOLVED_OPTIMALLY
15,17,physical,3,0.3026270866394043,SOLVED_OPTIMALLY
15,17,social,1,0.2936441898345947,SOLVED_OPTIMALLY
15,17,cognitive,2,0.30905771255493164,SOLVED_OPTIMALLY
15,18,physical,3,0.2869889736175537,SOLVED_OPTIMALLY
15,18,social,2,0.30693817138671875,SOLVED_OPTIMALLY
15,18,cognitive,3,0.2919337749481201,SOLVED_OPTIMALLY
15,19,physical,4,0.3092978000640869,SOLVED_OPTIMALLY
15,19,social,2,0.29240965843200684,SOLVED_OPTIMALLY
15,19,cognitive,2,0.2827160358428955,SOLVED_OPTIMALLY
15,20,physical,4,0.31589698791503906,SOLVED_OPTIMALLY
15,20,social,3,0.2863340377807617,SOLVED_OPTIMALLY
15,20,cognitive,2,0.2834937572479248,SOLVED_OPTIMALLY
15,21,physical,3,0.2723655700683594,SOLVED_OPTIMALLY
15,21,social,3,0.3293581008911133,SOLVED_OPTIMALLY
15,21,cognitive,2,0.29025959968566895,SOLVED_OPTIMALLY
15,22,physical,5,0.34305644035339355,SOLVED_OPTIMALLY
15,22,social,2,0.3268306255340576,SOLVED_OPTIMALLY
15,22,cognitive,4,0.2828195095062256,SOLVED_OPTIMALLY
15,23,physical,4,0.32334160804748535,SOLVED_OPTIMALLY
15,23,social,2,0.290712833404541,SOLVED_OPTIMALLY
15,23,cognitive,3,0.28621983528137207,SOLVED_OPTIMALLY
15,24,physical,4,0.32761645317077637,SOLVED_OPTIMALLY
15,24,social,3,0.3128514289855957,SOLVED_OPTIMALLY
15,24,cognitive,4,0.2892148494720459,SOLVED_OPTIMALLY
15,25,physical,4,0.2984645366668701,SOLVED_OPTIMALLY
15,25,social,3,0.2868623733520508,SOLVED_OPTIMALLY
15,25,cognitive,3,0.3088343143463135,SOLVED_OPTIMALLY
15,26,physical,5,0.336270809173584,SOLVED_OPTIMALLY
15,26,social,4,0.30358171463012695,SOLVED_OPTIMALLY
15,26,cognitive,6,0.3148770332336426,SOLVED_OPTIMALLY
15,27,physical,4,0.37099456787109375,SOLVED_OPTIMALLY
15,27,social,3,0.3149540424346924,SOLVED_OPTIMALLY
15,27,cognitive,3,0.3225586414337158,SOLVED_OPTIMALLY
15,28,physical,4,0.2936561107635498,SOLVED_OPTIMALLY
15,28,social,2,0.32308006286621094,SOLVED_OPTIMALLY
15,28,cognitive,3,0.3013737201690674,SOLVED_OPTIMALLY
15,29,physical,4,0.3570725917816162,SOLVED_OPTIMALLY
15,29,social,3,0.3180818557739258,SOLVED_OPTIMALLY
15,29,cognitive,6,0.3221118450164795,SOLVED_OPTIMALLY
